,ID,J_ID,Cruise_name,Bio_or_Fossil,Unique_collection_event number,Parent_ID,Dive_Number,Alvin_Dive_Event_Number,Sample_ID,Collection_time (UTC),Latitude (⁰N),Longitude (⁰E),Depth (m),Number_of_specimens,Weight (g),Bristol_name,Order,Family,Genus,Species (Stylasterid_by_Jess_orange_July_2024),Preservation_state,Temperature (°C),Standard_Deviation (Temp),Conductivity,Density (kg/m3),Salinity (psu),[O2] (μmol/kg),Silicate (µmol/kg),Phosphate (µmol/kg),Alkalinity,Pressure (dbar),pH (total 25°C 0dbar),DIC (µmol/mol),Aragonite_Saturation_State,Notes,My_Notes,Residuals_Avg,Ba/Ca - 1,Ba/Ca - 2,Ba/Ca - t,hover_text
10,AT5009_B0425_Dive5161_Ev010_001,J26,AT5009,B,425,267.0,5161,10,1,2023-03-04 19:02:00,0.461912,-90.7123526,-517.9,1,4.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,small stylasterid grow with desmo cup coral,,1.962714825422668,12.42866547959323,12.58705143951726,,J_ID: J26<br>O2: 21.86 μmol/kg<br>Ba/Ca J26-1: 12.43<br>Ba/Ca J26-2: 12.59<br>Ba/Ca J26-t: nan<br>Species: galapagensis<br>
11,AT5009_B0246_Dive5161_Ev012_001,J27,AT5009,B,246,265.0,5161,12,1,2023-03-04 19:16:00,0.4617797,-90.7121749,-516.94,1,400.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,divergens,L,8.1046,0.002244548952462256,3.62011,1029.3351,34.6352,21.862,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 large red stylasterids with a few small pieces and desmo pieces,,1.3148487199496357,11.69257711788487,11.72562732606126,12.17298527964539,J_ID: J27<br>O2: 21.86 μmol/kg<br>Ba/Ca J27-1: 11.69<br>Ba/Ca J27-2: 11.73<br>Ba/Ca J27-t: 12.17<br>Species: divergens<br>
12,AT5009_B0488_Dive5162_Ev006_001s,J28,AT5009,B,488,552.0,5162,6,001s,2023-04-04 17:50:00,-0.5082962,-89.9409337,-425.34,1,10.0,Stylasterid,Anthoathecata,,Stylaster,divergens,L,8.6847,0.06308919875858293,3.671964,1028.8402,34.6589,16.513,42.503,2.76,2309.7,436.5,7.6119,2277.013607417422,0.752197702290146,1 red and 1 white live stylasterid on a fossil coral,T not tip,0.783908037729781,10.27871075937776,10.08116567404847,10.21809804575791,J_ID: J28<br>O2: 16.51 μmol/kg<br>Ba/Ca J28-1: 10.28<br>Ba/Ca J28-2: 10.08<br>Ba/Ca J28-t: 10.22<br>Species: divergens<br>
13,AT5009_B0488_Dive5162_Ev006_001t,J29,AT5009,B,488,552.0,5162,6,001t,2023-04-04 17:50:00,-0.5082962,-89.9409337,-425.6,1,10.0,Stylasterid,Anthoathecata,,Stylaster,galapagensis,L,8.6847,0.06308919875858293,3.671964,1028.8402,34.6589,16.513,42.503,2.76,2309.7,436.5,7.6119,2277.013607417422,0.752197702290146,1 red and 1 white live stylasterid on a fossil coral, ,0.9546004897293611,10.17628655873052,10.39167102628317,10.52209425016919,J_ID: J29<br>O2: 16.51 μmol/kg<br>Ba/Ca J29-1: 10.18<br>Ba/Ca J29-2: 10.39<br>Ba/Ca J29-t: 10.52<br>Species: galapagensis<br>
14,AT5009_B0838_Dive5163_Ev006_001,J10,AT5009,B,838,872.0,5163,6,1,2023-05-04 17:02:00,-0.5977952,-89.2027503,-1090.17,1,5.0,Stylasterid,Anthoathecata,,Stylaster,galapagensis,L,4.4525,0.006784025353726166,3.30807,1032.4446,34.5698,62.552,101.84,2.98,2364.1,1110.9,7.6797,2323.747610519944,0.6719012650651642,1 small stylasterid,,0.25028100798447755,18.65106414807232,18.65482475599304,18.23390830956635,J_ID: J10<br>O2: 62.55 μmol/kg<br>Ba/Ca J10-1: 18.65<br>Ba/Ca J10-2: 18.65<br>Ba/Ca J10-t: 18.23<br>Species: galapagensis<br>
15,AT5009_B0879_Dive5164_Ev002_001,J30,AT5009,B,879,879.0,5164,2,1,2023-06-04 15:09:00,-0.7205908,-89.1521534,-543.95,1,5.0,Stylasterid,,,Crypthelia,cymas,L,7.9195,0.02249299891077235,3.60278,1029.4756,34.6196,20.822,52.41,2.93,2311.2,546.5,7.6023,2286.151542995561,0.6857932604513339,1 medium stylasterid,,1.0242229840774542,12.22289882962697,12.06047172994069,11.69783355192986,J_ID: J30<br>O2: 20.82 μmol/kg<br>Ba/Ca J30-1: 12.22<br>Ba/Ca J30-2: 12.06<br>Ba/Ca J30-t: 11.70<br>Species: cymas<br>
16,AT5009_B0866_Dive5164_Ev002_001,J31,AT5009,B,866,853.0,5164,2,1,2023-06-04 15:09:00,-0.7205908,-89.1521534,-544.1,1,5.0,Stylasterid,,,Stylaster,galapagensis,L,7.9195,0.02249299891077235,3.60278,1029.4756,34.6196,20.822,52.41,2.93,2311.2,546.5,7.6023,2286.151542995561,0.6857932604513339,1 medium stylasterid,,0.31168111471560245,11.27618121598942,11.2548368104996,11.31256047692294,J_ID: J31<br>O2: 20.82 μmol/kg<br>Ba/Ca J31-1: 11.28<br>Ba/Ca J31-2: 11.25<br>Ba/Ca J31-t: 11.31<br>Species: galapagensis<br>
18,AT5009_B0855_Dive5164_Ev010_001,J32,AT5009,B,855,843.0,5164,10,1,2023-06-04 17:33:00,-0.7133521,-89.147957,-349.97,1,5.0,Stylasterid,,,Stylaster,cocosensis,L,10.8093,0.1971381672837605,3.878561,1028.2131,34.769,9.543,36.789,2.65,2303.5,356.4,7.6088,2269.407915982487,0.7763453917747756,1 small red stylasterid,,3.33880494938394,8.793133505755197,9.463386128701902,18.33508321209889,J_ID: J32<br>O2: 9.54 μmol/kg<br>Ba/Ca J32-1: 8.79<br>Ba/Ca J32-2: 9.46<br>Ba/Ca J32-t: 18.34<br>Species: cocosensis<br>
19,AT5009_B0885_Dive5164_Ev016_001,J2,AT5009,B,885,892.0,5164,16,1,2023-06-04 18:24:00,-0.713635,-89.1459117,-277.19,1,10.0,Stylasterid,Anthoathecata,,Stylaster,marenzelleri,L,13.1511,0.003906788962818124,4.115697,1027.5468,34.9257,46.206,28.841,2.39,2297.8,274.6,7.6461,2244.173631918198,0.921476828890298,1 medium red stylasterid,,1.2257030350879377,10.17628655873052,10.39167102628317,10.52209425016919,J_ID: J2<br>O2: 46.21 μmol/kg<br>Ba/Ca J2-1: 10.18<br>Ba/Ca J2-2: 10.39<br>Ba/Ca J2-t: 10.52<br>Species: marenzelleri<br>
20,AT5009_B0901_Dive5164_Ev016_001,J33,AT5009,B,901,892.0,5164,16,1,2023-06-04 18:24:00,-0.713635,-89.1459117,-277.3,1,4.0,Stylasterid,Anthoathecata,,Crypthelia,cymas,L,13.1511,0.003906788962818124,4.115697,1027.5468,34.9257,46.206,28.841,2.39,2297.8,274.6,7.6461,2244.173631918198,0.921476828890298,1 small white stylasterid,,0.11515046769190636,8.549812688709247,7.68541128557413,8.530245341285438,J_ID: J33<br>O2: 46.21 μmol/kg<br>Ba/Ca J33-1: 8.55<br>Ba/Ca J33-2: 7.69<br>Ba/Ca J33-t: 8.53<br>Species: cymas<br>
21,AT5009_B1002_Dive5164_Ev018_001,J34,AT5009,B,1002,857.0,5164,18,1,2023-06-04 19:13:00,-0.7139323,-89.1444287,-213.46,1,3.0,Stylasterid,Anthoathecata,,Stylaster,divergens,L,13.9498,0.01352859933622091,4.195514,1027.1295,34.9732,76.767,19.933,1.85,2305.0,205.7,7.8045,2191.07965203503,1.390993133211859,several pieces of small red stylasterid,,-0.06795614576488425,7.032694832502885,7.273143161813504,7.683842474850318,J_ID: J34<br>O2: 76.77 μmol/kg<br>Ba/Ca J34-1: 7.03<br>Ba/Ca J34-2: 7.27<br>Ba/Ca J34-t: 7.68<br>Species: divergens<br>
22,AT5009_B0558_Dive5166_Ev011_001,J35,AT5009,B,558,571.0,5166,11,1,2023-08-04 17:41:00,-1.3403832,-89.895414,-582.87,1,30.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,7.6601,0.001768615277554755,3.580919,1029.6969,34.6226,28.865,55.252,2.94,2317.8,606.9,7.6117,2291.113194082982,0.6845447387532937,"5 medium size stylas, one piece covered by chalky coating and others prestine",,5.652449417902496,15.54616839146423,15.8193093529143,20.41314212948165,J_ID: J35<br>O2: 28.86 μmol/kg<br>Ba/Ca J35-1: 15.55<br>Ba/Ca J35-2: 15.82<br>Ba/Ca J35-t: 20.41<br>Species: galapagensis<br>
23,AT5009_B0191_Dive5169_Ev003_001,J37,AT5009,B,191,1249.0,5169,3,1,2023-11-04 16:10:00,-1.2289413,-90.7019788,-678.56,1,10.0,Stylasterid,Anthoathecata,,Stylaster,galapagensis,L,6.6514,0.00484128082226172,3.488077,1030.2487,34.5696,45.799,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,"many pieces of stylasterid, base on a rock",Taken from smaller base. Rep 1 is the flat/hollow part of galapagensis,0.8060503615318121,13.5919286366729,13.49918066330492,14.51914435150558,J_ID: J37<br>O2: 45.80 μmol/kg<br>Ba/Ca J37-1: 13.59<br>Ba/Ca J37-2: 13.50<br>Ba/Ca J37-t: 14.52<br>Species: galapagensis<br>
24,AT5009_B0192_Dive5169_Ev003_001,J38,AT5009,B,192,1249.0,5169,3,1,2023-11-04 16:10:00,-1.2289413,-90.7019788,-678.56,1,20.0,Stylasterid,Anthoathecata,,Crypthelia,lacunosa,L,6.6514,0.00484128082226172,3.488077,1030.2487,34.5696,45.799,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 medium stylasterid,,0.6907182238087574,13.7856030563389,13.78830070501638,13.69035347695895,J_ID: J38<br>O2: 45.80 μmol/kg<br>Ba/Ca J38-1: 13.79<br>Ba/Ca J38-2: 13.79<br>Ba/Ca J38-t: 13.69<br>Species: lacunosa<br>
25,AT5009_B0975_Dive5169_Ev011_001,J39,AT5009,B,975,1280.0,5169,11,1,2023-11-04 18:56:00,-1.2237967,-90.7029361,-562.07,1,5.0,Stylasterid,Anthoathecata,,Stylaster,galapagensis,L,7.5023,0.02139665861764396,3.563282,1029.6071,34.5986,34.789,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,1 small sty,,0.39661994769036824,11.53876085448019,11.49635217217884,11.9144572809864,J_ID: J39<br>O2: 34.79 μmol/kg<br>Ba/Ca J39-1: 11.54<br>Ba/Ca J39-2: 11.50<br>Ba/Ca J39-t: 11.91<br>Species: galapagensis<br>
26,AT5009_B1238_Dive5169_Ev011_001s,J36,AT5009,B,1238,1280.0,5169,11,001s,2023-11-04 18:56:00,-1.2237967,-90.7029361,-562.3,1,12.0,Stylasterid,Anthoathecata,,Stylaster,galapagensis,L,7.5023,0.02139665861764396,3.563282,1029.6071,34.5986,34.789,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 medium stylasterid,,0.7631280204224667,12.58114712297783,11.82497801361658,11.64296938924732,J_ID: J36<br>O2: 34.79 μmol/kg<br>Ba/Ca J36-1: 12.58<br>Ba/Ca J36-2: 11.82<br>Ba/Ca J36-t: 11.64<br>Species: galapagensis<br>
27,AT5009_B1238_Dive5169_Ev011_001t,J40,AT5009,B,1238,1280.0,5169,11,001t,2023-11-04 18:56:00,-1.2237967,-90.7029361,-562.6,1,12.0,Stylasterid,Anthoathecata,,Crypthelia,lacunosa,L,7.5023,0.02139665861764396,3.563282,1029.6071,34.5986,34.789,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 medium stylasterid,Rep 1 is spikey cover over cyclosystem rep 2 is smooth cover,1.0100162836321351,12.47427499185896,12.04490651574135,12.27057780787042,J_ID: J40<br>O2: 34.79 μmol/kg<br>Ba/Ca J40-1: 12.47<br>Ba/Ca J40-2: 12.04<br>Ba/Ca J40-t: 12.27<br>Species: lacunosa<br>
28,AT5009_B0199_Dive5171_Ev002_001,J41,AT5009,B,199,906.0,5171,2,1,4/13/2023 22:51,0.3057493,-91.6298789,-716.01,1,5.0,Stylasterid,Anthoathecata,,Crypthelia,cymas,L,6.465,0.002233383084023025,3.472096,1030.4398,34.5622,50.987,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,small stylasterid,"There is another from this event B0183, missing in sheet so skipping it",1.1597145723453446,14.78839298744468,14.62423765251601,,J_ID: J41<br>O2: 50.99 μmol/kg<br>Ba/Ca J41-1: 14.79<br>Ba/Ca J41-2: 14.62<br>Ba/Ca J41-t: nan<br>Species: cymas<br>
29,AT5009_B0200_Dive5171_Ev006_001,J42,AT5009,B,200,922.0,5171,6,1,4/13/2023 23:04,0.3057104,-91.6298694,-714.26,1,5.0,Stylasterid,Anthoathecata,,Crypthelia,cymas,L,6.466,0.01102669488106016,3.471989,1030.4296,34.5609,50.807,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,1 small stylasterid,"Kind of fuzzy, should microscope",0.5993914561110708,13.85161942800235,14.37316550750031,14.14557100678441,J_ID: J42<br>O2: 50.81 μmol/kg<br>Ba/Ca J42-1: 13.85<br>Ba/Ca J42-2: 14.37<br>Ba/Ca J42-t: 14.15<br>Species: cymas<br>
30,AT5009_B0201_Dive5172_Ev003_001,J9,AT5009,B,201,1239.0,5172,3,1,4/14/2023 15:12,-0.8982832,-91.539781,-960.92,1,10.0,Stylasterid,Anthoathecata,Stylasteridae,Crypthelia,lacunosa,L,4.9618,0.007168333139579948,3.34631,1031.7681,34.5507,65.981,82.61,2.61,2363.0,1001.0,7.7248,2308.392693812538,0.767721480433933,4 small pieces of stylasterid,,2.386818709175479,18.45147361673336,18.63003385853986,20.15401786486252,J_ID: J9<br>O2: 65.98 μmol/kg<br>Ba/Ca J9-1: 18.45<br>Ba/Ca J9-2: 18.63<br>Ba/Ca J9-t: 20.15<br>Species: lacunosa<br>
31,AT5009_B0177_Dive5172_Ev005_001,J43,AT5009,B,177,1271.0,5172,5,1,4/14/2023 16:38,-0.8964667,-91.5390807,-875.25,1,7.0,Stylasterid,Anthoathecata,Stylasteridae,Crypthelia,cf cymas,L,5.4029,0.002777588882466176,3.381951,1031.3108,34.5489,63.337,82.61,2.61,2363.0,1001.0,7.7248,2308.392693812538,0.767721480433933,3 pieces of stylasterid,,0.8389972069474444,16.31428638159053,16.55475091552654,16.30739333856702,J_ID: J43<br>O2: 63.34 μmol/kg<br>Ba/Ca J43-1: 16.31<br>Ba/Ca J43-2: 16.55<br>Ba/Ca J43-t: 16.31<br>Species: cf cymas<br>
32,AT5009_B0193_Dive5172_Ev006_001,J44,AT5009,B,193,1255.0,5172,6,1,4/14/2023 17:12,-0.8958625,-91.5386484,-831.22,1,5.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,5.6918,0.01544273291875516,3.405849,1031.0667,34.5469,62.503,82.61,2.61,2363.0,1001.0,7.7248,2308.392693812538,0.767721480433933,1 small stylasterid,"Rep 2 is the small branch where the tip came from. Rep 1 is from a developed branch but it may have been close to the tip, it wasn’t a thick branch",2.0233928863204427,16.98947834422732,16.8645915232361,17.23658651896569,J_ID: J44<br>O2: 62.50 μmol/kg<br>Ba/Ca J44-1: 16.99<br>Ba/Ca J44-2: 16.86<br>Ba/Ca J44-t: 17.24<br>Species: galapagensis<br>
33,AT5009_B0933_Dive5172_Ev011_001,J14,AT5009,B,933,1275.0,5172,11,1,4/14/2023 19:21,-0.8929917,-91.535484,-729.4,1,10.0,Stylasterid,Anthoathecata,Stylasteridae,Lepidotheca,Unknown,Poor,6.261,0.003225988220685291,3.453717,1030.5254,34.5571,52.957,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,4 pieces of small stylasterid,Repricipitating i.e. poor quality,1.6710385011129265,15.28828195037344,15.49192635941032,,J_ID: J14<br>O2: 52.96 μmol/kg<br>Ba/Ca J14-1: 15.29<br>Ba/Ca J14-2: 15.49<br>Ba/Ca J14-t: nan<br>Species: Unknown<br>
34,AT5009_B0179_Dive5172_Ev013_001,J45,AT5009,B,179,1273.0,5172,13,1,4/14/2023 20:03,-0.8913705,-91.5342591,-654.86,1,10.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,divergens,L,6.6596,0.02294543527588885,3.487504,1030.1354,34.5666,45.643,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,1 small stylasterid,,0.1610537055035929,13.45930896514627,12.48758994668861,12.80474991689712,J_ID: J45<br>O2: 45.64 μmol/kg<br>Ba/Ca J45-1: 13.46<br>Ba/Ca J45-2: 12.49<br>Ba/Ca J45-t: 12.80<br>Species: divergens<br>
35,AT5009_B0202_Dive5173_Ev002_001,J46,AT5009,B,202,1213.0,5173,2,1,4/15/2023 14:50,-0.5682667,-91.3603826,-787.96,1,8.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,5.9242,0.009606612306115014,3.425092,1030.8379,34.5487,58.864,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 small stylasterid,See image,0.8022939510217301,14.72476245192075,15.02531173553204,16.07678541196566,J_ID: J46<br>O2: 58.86 μmol/kg<br>Ba/Ca J46-1: 14.72<br>Ba/Ca J46-2: 15.03<br>Ba/Ca J46-t: 16.08<br>Species: galapagensis<br>
36,AT5009_B0178_Dive5173_Ev005_001,J47,AT5009,B,178,1193.0,5173,5,1,4/15/2023 16:02,-0.56851,-91.3593675,-711.05,1,10.0,Stylasterid,Anthoathecata,Stylasteridae,Lepidotheca,macropora,L,6.2737,0.0004722287581246847,3.4541,1030.4413,34.5573,53.176,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,1 medium stylasterid,,15.042010328451468,17.56271734947802,30.36399346069154,37.64746612209117,J_ID: J47<br>O2: 53.18 μmol/kg<br>Ba/Ca J47-1: 17.56<br>Ba/Ca J47-2: 30.36<br>Ba/Ca J47-t: 37.65<br>Species: macropora<br>
37,AT5009_B0210_Dive5173_Ev006_001,J6,AT5009,B,210,1229.0,5173,6,1,4/15/2023 16:15,-0.5685122,-91.3591444,-693.69,1,15.0,Stylasterid,Anthoathecata,Stylasteridae,Crypthelia,cf cymas,L,6.3132,0.02187441427787259,3.456926,1030.3577,34.5572,51.396,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 pieces. Stylaster sp.?,,,7.360240408036022,7.165936983097168,7.216766521236031,J_ID: J6<br>O2: 51.40 μmol/kg<br>Ba/Ca J6-1: 7.36<br>Ba/Ca J6-2: 7.17<br>Ba/Ca J6-t: 7.22<br>Species: cf cymas<br>
38,AT5009_B0182_Dive5173_Ev008_001,J48,AT5009,B,182,1197.0,5173,8,1,4/15/2023 17:58,-0.570758,-91.3561491,-518.2,1,10.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,8.0122,0.0004979959839191556,3.610365,1029.344,34.6217,28.19,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,2 medium stylasterid,Simpodial ~13 dactylopores per cyclosystem?,0.16660193162747325,10.91772352943243,10.58170554032415,10.70588676092912,J_ID: J48<br>O2: 28.19 μmol/kg<br>Ba/Ca J48-1: 10.92<br>Ba/Ca J48-2: 10.58<br>Ba/Ca J48-t: 10.71<br>Species: galapagensis<br>
39,AT5009_B0194_Dive5173_Ev009_001,J49,AT5009,B,194,1211.0,5173,9,1,4/15/2023 18:23,-0.5710735,-91.3559446,-504.26,1,6.0,Stylasterid,Anthoathecata,Stylasteridae,Stylaster,galapagensis,L,8.0296,0.007322226437362155,3.6114,1029.2778,34.6222,27.683,50.81,2.33,2325.0,600.2,7.6575,2285.308925976788,0.7593033520655502,1 small stylasterid,,1.2797563330847228,11.09323579454822,11.55393905273701,12.24633544132333,J_ID: J49<br>O2: 27.68 μmol/kg<br>Ba/Ca J49-1: 11.09<br>Ba/Ca J49-2: 11.55<br>Ba/Ca J49-t: 12.25<br>Species: galapagensis<br>
